School Name,u_school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9th,10th,11th,12th,demo_pct_American Indian,demo_pct_Asian,demo_pct_Black,demo_pct_Hispanic,demo_pct_Pacific Islander,demo_pct_White,demo_pct_Two_or_More,Male,Female,HS_ENROLL,Coed,Relig,Community_Type,Charter,Magnet,Relig_subtype,Title 1 School,Title 1 School Wide,type,Street Address,City,State,ZIP,PSS_COUNTY_NO,County FIPS,Locale,County Name
Havenwyck School,A9502327,,,25,,15,,,,,,,,0,0,36.66,6.66,0,50,6.66,,,,Male_Only,Nonsectarian,Suburban,No,No,Nonsectarians,No,No,private,1525 UNIVERSITY DR,AUBURN HILLS,MI,48326,26125,125,Suburb: Large,OAKLAND
Heritage Christian Academy,A1902439,,,64,,11.5,,,,,,,,4.18,0.52,2.61,4.18,1.57,84.29,2.61,,,,Coed,Other Religious,Suburban,No,No,Christian (no denomination specified),No,No,private,6312 QUAIL RUN DR,KALAMAZOO,MI,49009,26077,77,Suburb: Midsize,KALAMAZOO
Hillsdale Academy,A9103494,,,79,,9.46,,,,,,,,0,0.47,1.41,1.88,0,96.22,0,,,,Coed,Other Religious,Town,No,No,Christian (no denomination specified),No,No,private,1 ACADEMY LN,HILLSDALE,MI,49242,26059,59,Town: Distant,HILLSDALE
Howardsville Christian School,2036567,,,34,,10.06,,,,,,,,0,0,0.68,0,0,99.31,0,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,53441 BENT RD,MARCELLUS,MI,49067,26149,149,Rural: Distant,ST. JOSEPH
Huron Valley Lutheran High School,644409,,,82,,12.05,,,,,,,,0,3.65,0,8.53,0,87.8,0,,,,Coed,Other Religious,Suburban,No,No,Other Lutheran,No,No,private,33740 COWAN RD,WESTLAND,MI,48185,26163,163,Suburb: Large,WAYNE
Immanuel Christian School,2038087,,,6,,5.2,,,,,,,,0,0,0,0,0,100,0,,,,Coed,Other Religious,Rural,No,No,Christian (no denomination specified),No,No,private,PO BOX 6,ROSCOMMON,MI,48653,26143,143,Rural: Distant,ROSCOMMON
Inter-City Baptist School,641554,,,98,,12.65,,,,,,,,,,,,,,,,,,Coed,Other Religious,Suburban,No,No,Baptist,No,No,private,4700 ALLEN RD,ALLEN PARK,MI,48101,26163,163,Suburb: Large,WAYNE
Interlochen Arts Academy,643879,,,552,,6.13,,,,,,,,,,,,,,,,,,Coed,Nonsectarian,Rural,No,No,Nonsectarians,No,No,private,PO BOX 199,INTERLOCHEN,MI,49643,26055,55,Rural: Fringe,GRAND TRAVERSE
International Islamic Academy,A1502018,,,17,,8.21,,,,,,,,0,26.81,1.44,0,0,71.01,0.72,,,,Coed,Other Religious,City,No,No,Islamic,No,No,private,14350 TIREMAN ST,DETROIT,MI,48228,26163,163,City: Large,WAYNE
Jackson Christian Middle/High School,X0644442,,,65,,10.15,,,,,,,,0,3.94,5.91,2.95,0,84.72,2.46,,,,Coed,Other Religious,Suburban,No,No,Christian (no denomination specified),No,No,private,4200 LOWE RD,JACKSON,MI,49203,26075,75,Suburb: Small,JACKSON
Juniata Christian School,645468,,,36,,11.35,,,,,,,,0,0,0,3.17,0,96.82,0,,,,Coed,Other Religious,Rural,No,No,Baptist,No,No,private,5656 WASHBURN RD,VASSAR,MI,48768,26157,157,Rural: Distant,TUSCOLA
Kalamazoo Christian School,A1702067,,,241,,14.09,,,,,,,,0.25,2.89,2.64,5.66,0,85.53,3.01,,,,Coed,Other Religious,Suburban,No,No,Christian (no denomination specified),No,No,private,3800 S 12TH ST,KALAMAZOO,MI,49009,26077,77,Suburb: Midsize,KALAMAZOO
Kalamazoo Christian Schools,A1990465,,,238,,14.08,,,,,,,,,,,,,,,,,,Coed,Other Religious,City,No,No,Other,No,No,private,2121 STADIUM DR,KALAMAZOO,MI,49008,26077,77,City: Small,KALAMAZOO
Laingsburg Christian School,641306,,,3,,3.59,,,,,,,,0,0,4.34,0,0,95.65,0,,,,Coed,Other Religious,Rural,No,No,Baptist,No,No,private,PO BOX 250,LAINGSBURG,MI,48848,26155,155,Rural: Distant,SHIAWASSEE
